address,cost,food_type,name
" 10870 Coursey Blvd W, Baton Rouge 70816",$$,"['Seafood', ' Cajun']",The Chimes East                                     
 7341 Corporate Boulevard. 70809,$$$,"['Asian', ' Chinese', ' Vegetarian']",P.F. Chang's                                     
" 8635 Highland Rd, Baton Rouge 70808",$$,"['American', ' Seafood', ' Cajun']",Sammy's Grill                                     
" 3357 Highland Road, Baton Rouge 70802",$$,"['Seafood', ' Cajun']",The Chimes                                     
" 3225 Perkins Rd, Baton Rouge 70808",$$$,"['Seafood', ' Southern', ' Cajun']",Parrain's Seafood                                     
" 3322 Lake St, Baton Rouge 70802",$,"['American', ' Breakfast', ' Burger']",Louie's Cafe                                     
" 5741 Essen Ln, Baton Rouge 70808",$$,"['Japanese', ' Steak', ' Sushi']",Ichiban Sushi Bar & Japanese Grill                                     
" 10155 Perkins Rowe Ste 100, Baton Rouge 70810",$$$$,"['Brazilian', ' Steak']",Texas de Brazil                                     
 2380 Towne Center Boulevard 70806,$$$,"['American', ' Seafood', ' Cajun']",Zea Rotisserie & Bar                                     
" 100 Lafayette St, Baton Rouge 70801",$$$,"['Asian', ' Japanese', ' Sushi']",Tsunami Sushi                                     
" 5435 Government St, Baton Rouge 70806",$$$,['Mexican'],Superior Grill                                     
" 5655 Government St, Baton Rouge 70806",$$,['Pizza'],Fleur de Lis Pizza                                     
 18811 Highland Road 70809,$$$$,"['Italian', ' Steak', ' Cajun']",Ruffino's Italian Restaurant                                     
" 5412 Government St, Baton Rouge 70806",$$$,"['Breakfast', ' French']",Bistro Byronz                                     
" 9990 Perkins Road, Baton Rouge 70810",$$$,"['Seafood', ' Steak', ' Cajun']",Louisiana Lagniappe                                     
 13556 Jefferson Hwy 70817,$$,"['Breakfast', ' Burger', ' Seafood']",Mason's Grill                                     
" 2919 Perkins Rd, Baton Rouge 70808",$$,['Thai'],Rama                                     
 6457 Bluebonnet Boulevard 70809,$$$,"['American', ' Seafood']",J. Alexander's                                     
 3739 Perkins Road 70808,$$$$,"['French', ' Seafood', ' Cajun']",Juban's Creole Restaurant & Caterer                                     
" 4350 Highland Rd. Suite B., Baton Rouge 70808",$$,"['Burger', ' Coffee and Tea']",Fat Cow Burgers & Salads                                     
 7731 Jefferson Hwy 70809,$$$,"['French', ' Southern', ' Cajun']",Beausoleil Restaurant and Bar                                     
" 3132 College Dr, Baton Rouge 70808",$$,"['Coffee and Tea', ' Tea']",Coffee Call                                     
" 4542 Bennington Ave, Baton Rouge 70808",$$$,['Italian'],Gino's Restaurant                                     
" 3056 Perkins Rd, Baton Rouge 70808",$$,"['European', ' German', ' Italian']",Pinetta's European Restaurant                                     
 7415 Corporate Boulevard 70809,$$$,"['American', ' Breakfast', ' Seafood']",Bonefish Grill                                     
" 2324 S Acadian Thruway, Baton Rouge 70808",$$$,"['American', ' BBQ']",TJ Ribs                                     
" 4738 Constitution Avenue, Baton Rouge 70808",$$,"['Mexican', ' Tex-Mex']",Tio Javi's                                     
 6171 Bluebonnet Boulevard. 70809,$$$,"['Seafood', ' Southern', ' Cajun']",Copeland's Cheesecake Bistro                                     
" 1031 W Lee Dr, Baton Rouge 70820",$$$,"['Seafood', ' Southern', ' Cajun']",Mike Anderson's Seafood                                     
 711 Jefferson Hwy Ste 4A 70806,$$,['Italian'],Monjunis Italian Cafe                                     
" 447 3rd St, Baton Rouge 70802",$$$,"['Italian', ' Seafood', ' Steak']",Little Village                                     
" 2531 Citiplace Ct, Baton Rouge 70808",$$,"['American', ' Coffee and Tea', ' Cajun']",Another Broken Egg Cafe                                     
 3535 Perkins Road 70808,$$,"['Sandwich', ' Seafood', ' Cajun']",Acme Oyster House                                     
" 4250 Burbank Drive, #101 70808",$$,"['Pizza', ' Sandwich']",Mellow Mushroom                                     
" 3202 S Sherwood Forest Blvd, Baton Rouge 70816",$$,"['Japanese', ' Sushi']",Nagoya                                     
" 2903 Perkins Rd, Baton Rouge 70808",$$$,"['Italian', ' Pizza']",Di Giulio Brothers                                     
" 5160 S Sherwood Forest Blvd, Baton Rouge 70816",$$,['Indian'],Bay Leaf                                     
 5720 Corporate Boulevard. #A 70808,$$$,"['French', ' Seafood']",Mansurs on the Boulevard                                     
" 9100 Mall Of Louisiana Drive, Baton Rouge 70836",$$,"['American', ' Pizza', ' Bar Food']",BJ's Restaurant and Brewhouse                                     
" 4353 S. Sherwood Forest Blvd, Baton Rouge 70816",$$,"['Burger', ' Sandwich']",South Of Philly                                     
" 7731 Perkins Rd, Baton Rouge 70810",$$$,"['Japanese', ' Sushi']",Sushi Yama Japanese                                     
 4836 Constitution 70808,$$$$,"['American', ' Steak']",Ruth's Chris Steak House                                     
" 4215 S. Sherwood Forest Blvd, Baton Rouge 70816",$$,"['Burger', ' Bar Food']",The Londoner                                     
" 3510 Drusilla Lane, Baton Rouge 70809",$$,"['BBQ', ' Southern', ' Cajun']",Voodoo BBQ & Grill                                     
 4225 Nicholson Drive. 70808,$$,"['American', ' BBQ', ' Burger']",Pluckers Wing Bar                                     
" 2363 Hollydale Ave, Baton Rouge 70808",$$,"['BBQ', ' Sandwich']",City Pork Deli & Charcuterie                                     
" 6010 Jones Creek Road, Baton Rouge 70817",$$,"['American', ' Cajun']",Jasmines on the Bayou                                     
" 4065 Government St, Baton Rouge 70806",$$,"['Mexican', ' Tex-Mex']",La Carreta on Government Street                                     
" 7474 Corporate Blvd Ste 307, Baton Rouge 70809",$$,"['Greek', ' Mediterranean', ' Middle Eastern']",Serop's Cafe                                     
" 4550 Concord Avenue, Baton Rouge 70808",$$,"['Sushi', ' Thai']",Thai Kitchen                                     
" 107 Third Street, Baton Rouge 70801",$$$$,"['Seafood', ' Steak']",Stroubes Seafood & Steakhouse                                     
" 11990 Florida Blvd, Baton Rouge 70815",$,['Vietnamese'],Viet Garden Vietnamese Cuisine                                     
" 10001 Perkins Rowe, Baton Rouge 70810",$$,"['Italian', ' Pizza']",California Pizza Kitchen at Perkins Rowe                                     
" 1985 Hwy 75, Sunshine 70780",$$$,"['Southern', ' Cajun']",Roberto's River Road Restaurant                                     
 3613 Perkins Road 70808,$,"['Burger', ' Sandwich']",Burgersmith Perkins Acadian Center                                     
" 2380 Towne Center Blvd, Baton Rouge 70809",$,['Fast Food'],Five Guys Burgers and Fries                                     
" 4395 Perkins Road, Baton Rouge 70808",$$,['Pizza'],Red Zeppelin Pizza                                     
" 7584 Bluebonnet Blvd, Baton Rouge 70810",$$,"['Japanese', ' Sushi', ' Teriyaki']",Tokyo Cafe                                     
" 10111 Perkins Rowe Perkins Rowe, Baton Rouge 70810",$$$,"['American', ' Asian', ' Sushi']",Kona Grill                                     
" 5230 Essen Lane, Baton Rouge 70809",$$,"['Indian', ' Vegetarian']",India's Restaurant                                     
" 4250 Burbank Dr, Baton Rouge 70808",$,"['Mexican', ' Tex-Mex']",Izzo's Illegal Burrito #1                                     
" 5215 Plank Rd, Baton Rouge 70805",$,"['Seafood', ' Cajun']",Tony's Seafood                                     
" 135 Veterans Boulevard, Denham Springs 70726",$$,['Mexican'],La Carreta of Denham Springs                                     
" 3838 Burbank Dr, Baton Rouge 70808",$$,"['Burger', ' Cajun']",Walk-On's Bistreaux & Bar                                     
" 5958 Florida Blvd, Baton Rouge 70806",$$,"['Thai', ' Vegetarian']",Thai Pepper                                     
" 4410 Highland Rd, Baton Rouge 70808",$$,"['Japanese', ' Sushi', ' Vietnamese']",Drunken Fish                                     
" 4625 S Sherwood Forest Blvd, Baton Rouge 70816",$,"['Japanese', ' Sushi']",Waka House                                     
" 7633 Jefferson Hwy, Baton Rouge 70809",$,['Burger'],Dearman's                                     
" 217 W State St, Baton Rouge 70802",$,"['Chinese', ' Japanese', ' Sushi']",Koi Japanese Cuisine                                     
" 37304 Perkins Rd, Prairieville 70769",$,"['Italian', ' Pizza', ' Sandwich']",Roma Pizza                                     
" 3535 Perkins Rd, Baton Rouge 70808",$$$,"['French', ' Seafood', ' Southern']",Galatoire's Bistro                                     
" 240 Range 12 Blvd, Denham Springs 70726",$$,"['Japanese', ' Sushi']",Geisha Sushi                                     
" 254 W Chimes Street, Baton Rouge 70802",$,['Sandwich'],Inga's Subs & Salads                                     
" 1500 Louisiana 30, Gonzales 70737",$$$,"['Seafood', ' Steak', ' Cajun']",Mike Anderson's Seafood                                     
 7275 Corporate Boulevard 70809,$$$,['Italian'],Carrabba's Italian Grill                                     
" 3851 S Sherwood Forest Boulevard, Baton Rouge 70816",$$,"['Asian', ' Vietnamese']",Pho Cafe                                     
" 100 Lafayette Street, Baton Rouge 70801",$$,"['American', ' Seafood', ' Southern']",Capital City Grill Downtown                                     
 7321 Corporate Boulevard 70809,$$$$,"['American', ' Seafood', ' Steak']",Fleming's Prime Steakhouse & Wine Bar                                     
" 3723 Government St, Baton Rouge 70806",$$$$,"['American', ' Southern', ' Steak']",Doe's Eat Place                                     
 470 North Alexander Avenue 70767,$,"['BBQ', ' Burger', ' Seafood']",Cou-yon's Cajun Bar-B-Q                                     
" 5201 Nicholson Dr, Baton Rouge 70820",$$,"['Japanese', ' Sushi']",Wahada                                     
 2318 Cedardale Avenue 70808,$,Unknown,Frankie's Dawg House                                     
" 7622 Old Hammond Hwy, Baton Rouge 70809",$$,"['Italian', ' Cajun']",Portobello's Grill                                     
" 13580 Coursey Blvd, Baton Rouge 70817",$,"['Burger', ' Sandwich', ' Seafood']",Dempsey's Poboys and Gumbo                                     
" 5837 Essen Lane, Baton Rouge 70808",$$,"['Japanese', ' Sushi']",Sushi Masa                                     
" 11260 Coursey Boulevard. Baton Rouge, LA 70816",$$,"['Burger', ' Seafood', ' Cajun']",Willie's Restaurant and Bar                                     
 2405 West Cabela Parkway 70737,$$$,"['Seafood', ' Steak', ' Cajun']",Don's Seafood                                     
" 3043 Perkins Rd, Baton Rouge 70808",$,['Sandwich'],Jimmy John's                                     
" 2943 Perkins Rd, Baton Rouge 70808",$$,"['American', ' Burger', ' Seafood']",George's Original                                     
" 3260 Highland Rd, Baton Rouge 70802",$,['Japanese'],Kaminari Hibachi and Sushi                                     
" 2112 Perkins Palms Ave, Baton Rouge 70808",$$,"['Caribbean', ' Healthy Food']",Rum House                                     
" 16400 Airline Hwy, Prairieville 70769",$$,"['American', ' Seafood', ' Cajun']",Sammy's Grill                                     
" 14241 Airline Highway, Suite 105, Baton Rouge 70817",$$,"['BBQ', ' Sandwich', ' Southern']",Pimanyoli's Sidewalk Cafe                                     
" 6110 Bluebonnet Blvd, Baton Rouge 70809",$$$,"['American', ' Seafood', ' Steak']",Ralph & Kacoo's                                     
" 2323 S Acadian Thruway, Baton Rouge 70808",$$$,['Mexican'],Mestizo Louisiana Mexican Restaurant                                     
" 6330 Siegen Ln, Baton Rouge 70809",$$,"['American', ' BBQ']",TJ Ribs                                     
" 6900 Siegen Lane, Baton Rouge 70809",$$,"['Greek', ' Mediterranean', ' Middle Eastern']",Zoroona Mediterranean Grill                                     
" 3043 Perkins Road Suite A, Baton Rouge 70808",$$,"['Asian', ' Japanese', ' Sushi']",Rock-n-Sake                                     
" 10360 N Mall Dr, Baton Rouge 70809",$$,"['American', ' BBQ', ' Steak']",Texas Roadhouse                                     
 5252 Corporate Boulevard 70808,$$$$,"['Seafood', ' Steak']",Sullivan's Steakhouse                                     
" 122 N Airline Hwy, Gonzales 70737",$$$,"['Japanese', ' Sushi']",Hello Tokyo                                     
 7512 Bluebonnet Boulevard 70810,$$$,['Italian'],Nino's                                     
 3155 Perkins Road 70808,$$,"['Mexican', ' Vegetarian', ' Taco']",Zippy's Burritos Tacos & More                                     
 301 3rd Street 70801,$,"['Italian', ' Pizza']",Schlittz and Giggles                                     
" 5575 Government St, Baton Rouge 70806",$,"['Italian', ' Sandwich']",Anthony's Italian Deli                                     
" 20335 Old Scenic Highway, Zachary 70791",$$,"['American', ' Seafood', ' Cajun']",Sammy's Grill                                     
" 8546 Siegen Lane, Street. George 70810",$,"['Breakfast', ' Desserts']",The Ambrosia Bakery                                     
 7521 Jefferson Hwy 70806,$$,"['American', ' Burger', ' Seafood']",Cafe Americain                                     
